date,time_of_day,open_interest
2024-09-12,04:00:00,57989.8
2024-09-12,04:30:00,58033.8
2024-09-12,05:00:00,58232.9
2024-09-12,05:30:00,58265.7
2024-09-12,06:00:00,58169.3
2024-09-12,06:30:00,58087.7
2024-09-12,07:00:00,58051.0
2024-09-12,07:30:00,57981.7
2024-09-12,08:00:00,57930.1
2024-09-12,08:30:00,58066.0
2024-09-12,09:00:00,58096.0
2024-09-12,09:30:00,57797.6
2024-09-12,10:00:00,57709.8
2024-09-12,10:30:00,57547.0
2024-09-12,11:00:00,58048.2
2024-09-12,11:30:00,58129.1
2024-09-12,12:00:00,57578.9
2024-09-12,12:30:00,57570.6
2024-09-12,13:00:00,57706.3
2024-09-12,13:30:00,57940.3
2024-09-12,14:00:00,58183.5
2024-09-12,14:30:00,58285.5
2024-09-12,15:00:00,58345.9
2024-09-12,15:30:00,58162.9
2024-09-12,16:00:00,58304.0
2024-09-12,16:30:00,58265.7
2024-09-12,17:00:00,58302.2
2024-09-12,17:30:00,58195.6
2024-09-12,18:00:00,58026.3
2024-09-12,18:30:00,58064.5
2024-09-12,19:00:00,57981.2
2024-09-12,19:30:00,58189.7
2024-09-12,20:00:00,58109.9
2024-09-12,20:30:00,58148.8
2024-09-12,21:00:00,58163.5
2024-09-12,21:30:00,58117.5
2024-09-12,22:00:00,57949.7
2024-09-12,22:30:00,58053.9
2024-09-12,23:00:00,58117.1
2024-09-12,23:30:00,58066.5
2024-09-13,00:00:00,58053.2
2024-09-13,00:30:00,57943.1
2024-09-13,01:00:00,57895.0
2024-09-13,01:30:00,57930.7
2024-09-13,02:00:00,57882.9
2024-09-13,02:30:00,57943.9
2024-09-13,03:00:00,57883.9
2024-09-13,03:30:00,57847.7
2024-09-13,04:00:00,57852.8
2024-09-13,04:30:00,58015.2
2024-09-13,05:00:00,58049.4
2024-09-13,05:30:00,58009.4
2024-09-13,06:00:00,58013.7
2024-09-13,06:30:00,58095.3
2024-09-13,07:00:00,58126.2
2024-09-13,07:30:00,58246.2
2024-09-13,08:00:00,58252.4
2024-09-13,08:30:00,58002.7
2024-09-13,09:00:00,57830.0
2024-09-13,09:30:00,57728.8
2024-09-13,10:00:00,57775.7
2024-09-13,10:30:00,57868.7
